driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
COL,19,7.0,19,MEDIUM,94.505,94.397,1.3956666666666706
VER,19,8.0,13,HARD,93.381,93.86233333333332,0.86099999999999
SAI,19,9.0,19,MEDIUM,94.773,95.01633333333332,2.0149999999999864
ALB,19,10.0,19,MEDIUM,94.979,95.41933333333334,2.4180000000000064
BEA,19,11.0,19,MEDIUM,95.097,95.08633333333334,2.085000000000008
OCO,19,12.0,19,MEDIUM,94.966,95.18299999999999,2.1816666666666578
BOR,19,13.0,19,MEDIUM,95.793,95.60700000000001,2.6056666666666786
LIN,19,14.0,19,MEDIUM,96.865,95.90233333333333,2.9009999999999962
PER,19,15.0,19,MEDIUM,96.405,96.46600000000001,3.4646666666666732
BOT,19,16.0,13,SOFT,96.902,96.52166666666666,3.520333333333326
ALO,19,17.0,19,MEDIUM,96.836,96.51166666666667,3.5103333333333353
STR,19,18.0,19,MEDIUM,97.022,96.628,3.626666666666665
NOR,20,1.0,20,MEDIUM,93.193,93.04733333333333,0.0
ANT,20,2.0,20,MEDIUM,93.011,93.214,0.1666666666666714
LEC,20,3.0,20,MEDIUM,93.689,94.22933333333334,1.1820000000000164
PIA,20,4.0,20,MEDIUM,93.477,94.104,1.056666666666672
HAM,20,5.0,20,MEDIUM,94.217,94.087,1.039666666666676
RUS,20,6.0,20,MEDIUM,99.114,93.97366666666669,0.9263333333333605
COL,20,7.0,20,MEDIUM,94.591,94.51966666666668,1.4723333333333528
VER,20,8.0,14,HARD,93.862,93.61666666666667,0.569333333333347
SAI,20,9.0,20,MEDIUM,94.8,95.01833333333332,1.9709999999999894
